                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.52935,                0.36997,                0.99275,                 0.9885,                0.94505,                0.97136,                0.93675,                0.24141,                0.18995,                0.70338,              0.0097664,              0.0097664,              0.0097664
                    121,                0.53747,                0.37047,                 1.0022,                0.98849,                0.94344,                0.96909,                0.92858,                0.24292,                0.21617,                0.71859,              0.0097644,              0.0097644,              0.0097644
                    122,                0.53074,                0.37995,                 1.0006,                0.99921,                0.93407,                0.96531,                0.93631,                0.24479,                0.18514,                0.71003,              0.0097624,              0.0097624,              0.0097624
                    123,                0.52628,                 0.3775,                0.99417,                0.98368,                0.93407,                0.98219,                0.94869,                0.23342,                0.17869,                0.70762,              0.0097604,              0.0097604,              0.0097604
                    124,                0.51654,                0.36874,                 0.9861,                0.97721,                0.94505,                0.98169,                0.94361,                 0.2399,                0.18119,                0.71249,              0.0097584,              0.0097584,              0.0097584
                    125,                0.52824,                0.35756,                0.99782,                0.99651,                0.93407,                0.96903,                0.92954,                0.24261,                0.17632,                0.71011,              0.0097565,              0.0097565,              0.0097565
                    126,                 0.4994,                0.35148,                0.97406,                0.97727,                0.94498,                0.97603,                0.93619,                0.25255,                0.18956,                0.71896,              0.0097545,              0.0097545,              0.0097545
                    127,                0.50687,                0.35429,                0.97923,                0.97717,                0.93407,                0.97866,                 0.9293,                0.23695,                0.19087,                0.71397,              0.0097525,              0.0097525,              0.0097525
                    128,                0.51096,                0.35717,                0.98161,                 0.9885,                0.94425,                0.96967,                0.93721,                0.24733,                0.18668,                0.71651,              0.0097505,              0.0097505,              0.0097505
                    129,                0.51958,                0.35976,                0.99037,                      1,                0.94431,                0.97828,                0.93853,                0.25245,                0.17412,                0.71599,              0.0097485,              0.0097485,              0.0097485
                    130,                0.49794,                0.35133,                0.98036,                      1,                0.95242,                0.97966,                0.93158,                0.24895,                 0.1703,                0.71007,              0.0097466,              0.0097466,              0.0097466
                    131,                0.50915,                0.35023,                0.98258,                0.97748,                0.95414,                 0.9808,                0.93675,                0.24305,                0.16911,                0.71126,              0.0097446,              0.0097446,              0.0097446
                    132,                0.50279,                0.35046,                0.98013,                 0.9885,                0.94432,                0.98145,                0.94624,                0.23733,                0.17547,                0.71402,              0.0097426,              0.0097426,              0.0097426
                    133,                0.51682,                0.35934,                 0.9897,                      1,                0.94335,                0.98118,                0.94075,                0.23178,                0.17736,                0.71632,              0.0097406,              0.0097406,              0.0097406
                    134,                0.50936,                0.36491,                0.98154,                      1,                0.94417,                0.96895,                0.93261,                0.24477,                0.16685,                0.71974,              0.0097386,              0.0097386,              0.0097386
                    135,                0.50904,                 0.3554,                 0.9851,                 0.9885,                0.94445,                0.97831,                0.93246,                0.25128,                0.17919,                0.72437,              0.0097367,              0.0097367,              0.0097367
                    136,                0.51709,                0.35424,                0.99545,                 0.9885,                0.94488,                0.97284,                0.94023,                0.25069,                0.17983,                0.73042,              0.0097347,              0.0097347,              0.0097347
                    137,                0.51269,                0.35334,                0.98335,                0.96698,                0.96555,                0.97669,                0.93727,                0.24362,                0.17359,                0.72275,              0.0097327,              0.0097327,              0.0097327
                    138,                0.51079,                0.36314,                0.98018,                0.99841,                0.93407,                0.98041,                0.93845,                0.24391,                0.17609,                0.71192,              0.0097307,              0.0097307,              0.0097307
                    139,                0.49816,                0.34867,                0.97203,                0.99801,                0.93407,                0.97787,                0.94801,                  0.238,                0.17193,                0.71431,              0.0097287,              0.0097287,              0.0097287
                    140,                0.51119,                0.35242,                 0.9907,                      1,                0.95458,                0.97927,                0.94607,                0.23837,                0.16514,                0.71634,              0.0097268,              0.0097268,              0.0097268
                    141,                0.49656,                0.35033,                0.97537,                0.98521,                0.94505,                0.97985,                0.94476,                0.22232,                0.17425,                0.70699,              0.0097248,              0.0097248,              0.0097248
                    142,                 0.4899,                0.34637,                0.98154,                0.98862,                0.95483,                 0.9763,                0.94097,                 0.2293,                0.16238,                0.70316,              0.0097228,              0.0097228,              0.0097228
                    143,                0.48538,                0.33407,                0.96628,                      1,                0.94341,                  0.981,                0.95089,                0.23304,                0.16987,                0.70371,              0.0097208,              0.0097208,              0.0097208
                    144,                0.47974,                0.33813,                 0.9696,                      1,                0.94448,                 0.9828,                0.93938,                0.24275,                0.17387,                0.71346,              0.0097188,              0.0097188,              0.0097188
                    145,                 0.4955,                0.35259,                0.97698,                0.97774,                0.96519,                0.98109,                0.94086,                0.24518,                0.16747,                0.71812,              0.0097169,              0.0097169,              0.0097169
                    146,                0.49208,                0.34367,                0.97503,                0.98805,                0.94505,                0.98012,                0.93731,                0.24853,                0.17402,                0.71932,              0.0097149,              0.0097149,              0.0097149
                    147,                 0.4984,                0.35078,                0.97259,                0.97699,                0.93321,                0.96467,                0.92704,                0.25931,                0.18483,                0.72839,              0.0097129,              0.0097129,              0.0097129
                    148,                0.50303,                0.35618,                0.97501,                0.98849,                0.94397,                0.97375,                0.93345,                0.25369,                0.18244,                0.72676,              0.0097109,              0.0097109,              0.0097109
                    149,                0.49607,                0.34983,                0.98089,                0.96365,                0.94505,                 0.9734,                0.93076,                0.23262,                0.18071,                0.71274,              0.0097089,              0.0097089,              0.0097089
                    150,                0.49595,                0.34496,                0.97536,                0.98563,                0.94505,                0.97689,                0.92607,                 0.2521,                0.18587,                0.71852,               0.009707,               0.009707,               0.009707
                    151,                 0.4827,                 0.3414,                0.97616,                0.97589,                0.94505,                0.96944,                0.93278,                0.25596,                0.18508,                0.73362,               0.009705,               0.009705,               0.009705
                    152,                0.50185,                0.34021,                0.98434,                      1,                0.95463,                0.97029,                0.93929,                0.24827,                0.17816,                0.72596,               0.009703,               0.009703,               0.009703
                    153,                0.48912,                0.33538,                0.97798,                      1,                0.95424,                 0.9735,                0.94578,                0.24259,                0.16961,                0.71964,               0.009701,               0.009701,               0.009701
                    154,                0.48007,                0.33215,                0.97587,                0.97727,                0.94497,                0.97462,                0.94346,                0.23695,                0.17428,                0.71103,               0.009699,               0.009699,               0.009699
                    155,                0.48162,                0.33537,                0.96902,                0.99437,                0.93407,                0.97907,                0.94549,                0.24084,                0.17033,                0.71322,              0.0096971,              0.0096971,              0.0096971
                    156,                0.49777,                0.34897,                0.98283,                0.97722,                0.94294,                0.97239,                0.93836,                0.23788,                0.16883,                0.71019,              0.0096951,              0.0096951,              0.0096951
